2026-05-27T07:50Z | FAIL | nightly.sh aborto (codigo 0)
2026-05-27T07:50Z | ok | interacciones=5 | grupos_error=0 | informe=qa-reports/petramora/2026-05-27.md
2026-05-27T08:11Z | ok | interacciones=5 | grupos_error=0 | informe=qa-reports/petramora/2026-05-27.md
2026-05-27T13:30Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-05-27.md
2026-05-27T13:42Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-05-27.md
2026-05-27T13:49Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-05-27.md
2026-05-27T14:03Z | ok | interacciones=7 | grupos_error=0 | informe=qa-reports/petramora/2026-05-27.md
2026-05-27T15:29Z | ok | interacciones=13 | grupos_error=0 | informe=qa-reports/petramora/2026-05-27.md
2026-05-27T16:18Z | ok | interacciones=13 | grupos_error=0 | informe=qa-reports/petramora/2026-05-27.md
2026-05-28T05:12Z | ok | interacciones=13 | grupos_error=0 | informe=qa-reports/petramora/2026-05-28.md
2026-05-29T05:16Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-05-29.md
2026-05-30T04:54Z | ok | interacciones=6 | grupos_error=0 | informe=qa-reports/petramora/2026-05-30.md
2026-05-31T05:22Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-05-31.md
2026-06-01T06:08Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-06-01.md
2026-06-02T05:53Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-06-02.md
2026-06-03T06:07Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-06-03.md
2026-06-04T05:59Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-06-04.md
2026-06-05T05:22Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-06-05.md
2026-06-06T04:56Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-06-06.md
2026-06-07T05:25Z | ok | interacciones=0 | grupos_error=0 | informe=qa-reports/petramora/2026-06-07.md
